Station,Station code,Location,State or province,Route
Aberdeen,ABE,Aberdeen,MD,Northeast Regional
Albany,ALY,Albany,OR,"Amtrak Cascades
  Coast Starlight"
Albany–Rensselaer,ALB,Rensselaer,NY,"Adirondack
  Empire Service
  Ethan Allen Express
  Lake Shore Limited
  Maple Leaf"
Albion,ALI,Albion,MI,Wolverine
Albuquerque,ABQ,Albuquerque,NM,Southwest Chief
Aldershot,AST,Aldershot,ON,Maple Leaf
Alderson,ALD,Alderson,WV,Cardinal
Alexandria,ALX,Alexandria,VA,"Cardinal
  Carolinian
  Crescent
  Northeast Regional
  Palmetto
  Silver Meteor
  Silver Star"
Allensworth State Park,CNL,Allensworth,CA,San Joaquins
Alliance,ALC,Alliance,OH,Capitol Limited
Alpine,ALP,Alpine,TX,"Sunset Limited
  Texas Eagle"
Alton,ALN,Alton,IL,"Lincoln Service
  Texas Eagle"
Altoona ,ALT,Altoona,PA,Pennsylvanian
Amsterdam,AMS,Amsterdam,NY,"Empire Service
  Maple Leaf"
Anaheim,ANA,Anaheim,CA,Pacific Surfliner
Ann Arbor ,ARB,Ann Arbor,MI,Wolverine
Anniston,ATN,Anniston,AL,Crescent
Antioch–Pittsburg,ACA,Antioch,CA,San Joaquins
Arcadia Valley,ACD,Ironton,MO,Texas Eagle
Ardmore,ADM,Ardmore,OK,Heartland Flyer
Ardmore,ARD,Ardmore,PA,Keystone Service
Arkadelphia,ARK,Arkadelphia,AR,Texas Eagle
Ashland,AKY,Ashland,KY,Cardinal
Ashland,ASD,Ashland,VA,Northeast Regional
Atlanta Peachtree,ATL,Atlanta,GA,Crescent
Auburn ,ARN,Auburn,CA,Capitol Corridor
Austin,AUS,Austin,TX,Texas Eagle
Bakersfield,BFD,Bakersfield,CA,San Joaquins
Baltimore Penn,BAL,Baltimore,MD,"Acela
  Cardinal
  Carolinian
  Crescent
  Northeast Regional
  Palmetto
  Silver Meteor
  Silver Star
  Vermonter"
Bangor,BAM,Bangor,MI,Pere Marquette
Barstow ,BAR,Barstow,CA,Southwest Chief
Battle Creek,BTL,Battle Creek,MI,"Blue Water
  Wolverine"
Beaumont,BMT,Beaumont,TX,Sunset Limited
Bellingham Fairhaven,BEL,Bellingham,WA,Amtrak Cascades
Bellows Falls,BLF,Bellows Falls,VT,Vermonter
Benson,BEN,Benson,AZ,"Sunset Limited
  Texas Eagle"
Berkeley,BKY,Berkeley,CA,Capitol Corridor
Berlin,BER,Berlin,CT,"Hartford Line
  Northeast Regional
  Valley Flyer
  Vermonter"
Bingen–White Salmon,BNG,Bingen,WA,Empire Builder
Birmingham,BHM,Birmingham,AL,Crescent
Bloomington–Normal ,BNL,Normal,IL,"Lincoln Service
  Texas Eagle"
Boston Back Bay,BBY,Boston,MA,"Acela
  Lake Shore Limited
  Northeast Regional"
Boston North,BON,Boston,MA,Downeaster
Boston South ,BOS,Boston,MA,"Acela
  Lake Shore Limited
  Northeast Regional"
Brattleboro,BRA,Brattleboro,VT,Vermonter
Bridgeport,BRP,Bridgeport,CT,"Northeast Regional
  Vermonter"
Brookhaven,BRH,Brookhaven,MS,City of New Orleans
Browning,BRO,Browning,MT,Empire Builder
Brunswick,BRK,Brunswick,ME,Downeaster
Bryan,BYN,Bryan,OH,Lake Shore Limited
Buffalo–Depew,BUF,Depew,NY,"Empire Service
  Lake Shore Limited
  Maple Leaf"
Buffalo–Exchange Street,BFX,Buffalo,NY,"Empire Service
  Maple Leaf"
Burbank Airport ,BUR,Burbank,CA,"Coast Starlight
  Pacific Surfliner"
Burke Centre,BCV,Burke,VA,Northeast Regional
Burlington,BRL,Burlington,IA,California Zephyr
Burlington,BNC,Burlington,NC,"Carolinian
  Piedmont"
BWI Thurgood Marshall Airport ,BWI,Linthicum,MD,"Acela
  Northeast Regional
  Palmetto
  Vermonter"
Camarillo,CML,Camarillo,CA,Pacific Surfliner
Camden,CAM,Camden,SC,Silver Star
Carbondale ,CDL,Carbondale,IL,"City of New Orleans
  Illini and Saluki"
Carlinville,CRV,Carlinville,IL,"Lincoln Service
  Texas Eagle"
Carpinteria ,CPN,Carpinteria,CA,Pacific Surfliner
Cary,CYN,Cary,NC,"Carolinian
  Piedmont
  Silver Star"
Castleton,CNV,Castleton,VT,Ethan Allen Express
Centralia,CEN,Centralia,IL,"City of New Orleans
  Illini and Saluki"
Centralia,CTL,Centralia,WA,"Amtrak Cascades
  Coast Starlight"
Champaign–Urbana ,CHM,Champaign,IL,"City of New Orleans
  Illini and Saluki"
Charleston,CHS,North Charleston,SC,"Palmetto
  Silver Meteor"
Charleston,CHW,Charleston,WV,Cardinal
Charlotte,CLT,Charlotte,NC,"Carolinian
  Crescent
  Piedmont"
Charlottesville ,CVS,Charlottesville,VA,"Cardinal
  Crescent
  Northeast Regional"
Chatsworth,CWT,Chatsworth,CA,Pacific Surfliner
Chemult,CMO,Chemult,OR,Coast Starlight
Chicago Union,CHI,Chicago,IL,"Blue Water
  California Zephyr
  Capitol Limited
  Cardinal
  City of New Orleans
  Empire Builder
  Hiawatha Service
  Illini and Saluki
  Illinois Zephyr and Carl Sandburg
  Lake Shore Limited
  Lincoln Service
  Pere Marquette
  Southwest Chief
  Texas Eagle
  Wolverine"
Chico ,CIC,Chico,CA,Coast Starlight
Cincinnati,CIN,Cincinnati,OH,Cardinal
